year,operator_id,operator_name,n_ccns,n_states,state_codes,cbsa_codes,Gross Patient Revenues Title XVIII Medicare,Gross Patient Revenues Title XIX Medicaid,Gross Patient Revenues Other,Gross Patient Revenues Total,Net Patient Revenues (line 1 minus line 2) XVIII Medicare,Net Patient Revenues (line 1 minus line 2) XIX Medicaid,Net Patient Revenues (line 1 minus line 2) Other,Net Patient Revenues (line 1 minus line 2) Total,Total Cost,Total HHA Medicare Program Cost,"Total, Total Visits",Total Episodes-Total Visits,Total Episodes-Total Charges,Less Total Operating Expenses (sum of lines 4 through 16),Net Income from service to patients (line 3 minus line 17),Net Income or Loss for the period (line 18 plus line 32),Total Assets,Total Liabilities,Fund Balance,Total PPS Payment - full episodes/periods without outliers,Total PPS Payment - full episodes/periods with outliers,Total PPS Payment - LUPA episodes/periods,Total PPS Payment - PEP episodes/periods,Total Hospice Days Total,Total Hospice Expenses
2020,51,COMFORT CARE HOME HEALTH,1,1,OK,36420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268414.0,204483.0,3189.0,1797.0,185925.0,268520.0,-268520.0,-268520.0,13335.0,80786.0,-67451.0,149144.0,36747.0,137.0,515.0,0.0,0.0
2020,52,COUNTRY STYLE INC XI,1,1,OK,22900,491048.0,883.0,90572.0,582503.0,491048.0,883.0,90572.0,582503.0,644543.0,512850.0,4899.0,4093.0,613950.0,688842.0,-106339.0,-106339.0,147496.0,367955.0,-220459.0,733097.0,5247.0,7980.0,878.0,0.0,0.0
2020,53,COUNTRY STYLE INC XII,1,1,OK,99999,924765.0,4046.0,285530.0,1214341.0,924765.0,4046.0,285530.0,1214341.0,821659.0,298839.0,13309.0,5546.0,831750.0,1060966.0,153375.0,153375.0,395981.0,928043.0,-532062.0,949480.0,4988.0,10264.0,4299.0,0.0,0.0
2020,54,SINCERE HOME HEALTH CARE. INC.,1,1,TX,19100,771303.0,0.0,0.0,771303.0,771303.0,0.0,0.0,771303.0,663172.0,1136972.0,3003.0,3050.0,273102.0,675210.0,96093.0,235593.0,169532.0,169532.0,0.0,764851.0,3782.0,6062.0,965.0,0.0,0.0
2020,55,PARIS SIGNATURE HOME HEALTH  INC,1,1,TX,37580,2097810.0,0.0,624258.0,2722068.0,2097810.0,0.0,624258.0,2722068.0,1921380.0,1225331.0,23346.0,13045.0,1233308.0,1998825.0,723243.0,870839.0,1545772.0,6334.0,1539438.0,2164870.0,0.0,9857.0,8513.0,0.0,0.0
2020,56,BERITER HEALTHCARE LLC,1,1,TX,19100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,57,CORNERSTONE HOME HEALTH,2,1,TX,18580|19100,1146094.0,0.0,326414.0,1472508.0,1146094.0,0.0,230636.0,1376730.0,1373481.0,1140287.0,6398.0,5339.0,792825.0,1510979.0,-134249.0,-52484.0,173145.0,112595.0,60550.0,1218336.0,10509.0,7167.0,7979.0,0.0,0.0
2020,58,CENTRAL HH SERVICES  INC.,1,1,IN,26900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,59,ANGELITOS HEALTH CARE INC,1,1,TX,40100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,60,ATC HOME HEALTH  LLC,1,1,TX,26420,1803601.0,0.0,1574607.0,3378208.0,1803601.0,0.0,1574607.0,3378208.0,2675809.0,1889571.0,19355.0,9928.0,1551530.0,2951690.0,426518.0,426813.0,442126.0,16627.0,425499.0,1712686.0,71316.0,10739.0,3441.0,0.0,0.0
2020,61,HOME HEALTH CHECK,1,1,TX,15180,1624877.0,0.0,0.0,1624877.0,1624744.0,0.0,0.0,1624744.0,995320.0,956339.0,7497.0,7385.0,1105350.0,1189687.0,435057.0,598118.0,802175.0,496850.0,305325.0,1201275.0,20373.0,7477.0,7863.0,0.0,0.0
2020,62,HOME HEALTH SVCS OF GARY  INC,1,1,IN,16980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,63,HOME CARE NETWORK  INC.,4,1,OH,10420|17410|19430|31900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,64,HOME CARE NETWORK INC,5,2,CA|OH,19430|31080|39020|45780,513934.0,0.0,9497.0,523431.0,513934.0,0.0,9497.0,523431.0,486794.0,461677.0,1918.0,1818.0,266105.0,565591.0,-42160.0,41251.0,160191.0,194803.0,-34612.0,584749.0,2972.0,3115.0,4855.0,0.0,0.0
2020,65,STILLWATER HOME CARE AGENCY  LLC,1,1,CO,19740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,66,ALEXANDER HOME HEALTHCARE  LLC,1,1,CO,22660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,67,WEL-HOME HEALTH BOZEMAN,1,1,MT,14580,139486.0,4274.0,87271.0,231031.0,137908.0,2253.0,73138.0,213299.0,358955.0,220691.0,1721.0,868.0,123098.0,351812.0,-138513.0,-138513.0,580556.0,3263616.0,-2683060.0,109974.0,13223.0,1295.0,0.0,0.0,0.0
2020,68,AT HOME REHAB,1,1,PA,37980,645341.0,0.0,495160.0,1140501.0,645341.0,0.0,495160.0,1140501.0,941271.0,400230.0,6696.0,2840.0,622425.0,1033547.0,106954.0,110556.0,-64437.0,85258.0,-149695.0,556376.0,21319.0,3322.0,830.0,0.0,0.0
2020,69,VIRGINIA HEALTH HOME CARE LLC,1,1,VA,47260,1851439.0,0.0,51769.0,1903208.0,1804513.0,0.0,50457.0,1854970.0,1516232.0,768729.0,15404.0,11547.0,2020725.0,1537344.0,317626.0,479447.0,1053591.0,94726.0,958865.0,1444923.0,248241.0,8826.0,4666.0,0.0,0.0
2020,70,TRANS-CARE HOME HEALTH LLC,1,1,VA,47900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
