cbsa_cd,cbsa_name,state,n_agencies,total_revenue,revenue_1M_5M,revenue_5M_10M,revenue_10M_50M,revenue_50M_plus,pct_revenue_under_1M,pct_revenue_1m_5m,pct_revenue_5M_10M,pct_revenue_10M_20M,pct_revenue_20M_50M,pct_revenue_50M_plus,pct_revenue_top2,n_agencies_1m_to_5m,pct_agencies_ownership_change,pct_revenue_ownership_change
17900,"Columbia, SC",SC,8,88302468.0,2959801.0,5695545.0,79647122.0,0.0,0.0,0.033518893265814496,0.06450040558322787,0.5165405116423246,0.385440189508633,0.0,0.5254957313310881,2,0.0,0.0
17980,"Columbus, GA-AL",GA,4,23260591.0,9371271.0,0.0,13889320.0,0.0,0.0,0.4028818958211337,0.0,0.5971181041788663,0.0,0.0,0.7911863890302702,3,0.0,0.0
18020,"Columbus, IN",IN,1,1775486.0,1775486.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0
18140,"Columbus, OH",OH,27,180786889.0,46574495.0,15907300.0,38838195.0,76278381.0,0.017636887374061733,0.25762097714951,0.08798923466181223,0.08537239113617359,0.12945621294473406,0.4219242967337084,0.5513805096784424,17,0.037037037037037035,0.005531192032404518
18580,"Corpus Christi, TX",TX,21,46554684.0,34048958.0,9636095.0,0.0,0.0,0.0616400059766274,0.7313755582574677,0.2069844357659049,0.0,0.0,0.0,0.31165991804390725,14,0.0,0.0
18880,"Crestview-Fort Walton Beach-Destin, FL",FL,3,18102905.0,5472883.0,0.0,12630022.0,0.0,0.0,0.3023207048813436,0.0,0.6976792951186563,0.0,0.0,0.8893684742863093,2,0.0,0.0
19124,"Dallas-Plano-Irving, TX",TX,255,563615565.0,231544414.0,189559576.0,88313848.0,0.0,0.0961608059919353,0.4108197650645081,0.3363277875407859,0.1566916414027707,0.0,0.0,0.05860736120727965,102,0.00392156862745098,0.0014991033826399027
19340,"Davenport-Moline-Rock Island, IA-IL",IL,6,66618616.0,3187780.0,0.0,62738935.0,0.0,0.01038600081394666,0.04785118922314448,0.0,0.18785217633461493,0.7539106336282939,0.0,0.7539106336282939,2,0.0,0.0
19430,"Dayton-Kettering-Beavercreek, OH",OH,13,125221912.0,28141554.0,8853076.0,37256808.0,50083994.0,0.007079272196386844,0.22473346358103843,0.07069909617735273,0.0,0.2975262668086397,0.3999619012365823,0.697488168045222,9,0.0,0.0
19660,"Deltona-Daytona Beach-Ormond Beach, FL",FL,16,64736475.0,21623979.0,18291149.0,23244777.0,0.0,0.02435365842826629,0.33403083810170386,0.28254780631784476,0.35906769715218506,0.0,0.0,0.35906769715218506,7,0.0,0.0
19780,"Des Moines-West Des Moines, IA",IA,12,85063739.0,13484824.0,7302838.0,61592257.0,0.0,0.03155069400370468,0.1585261141648147,0.08585136376382421,0.13845431835532176,0.5856175097123346,0.0,0.7240718280676565,5,0.0,0.0
19804,"Detroit-Dearborn-Livonia, MI",MI,29,72117255.0,15845038.0,12187776.0,36404331.0,0.0,0.10649476328515277,0.2197121618120379,0.16899944403041964,0.0,0.5047936308723897,0.0,0.5995845515750704,9,0.0,0.0
20260,"Duluth, MN-WI",MN,6,12550251.0,12225365.0,0.0,0.0,0.0,0.025886812941032015,0.974113187058968,0.0,0.0,0.0,0.0,0.5272331206762318,5,0.0,0.0
20500,"Durham-Chapel Hill, NC",NC,8,83259334.0,16879694.0,0.0,13594569.0,51885304.0,0.010806800352258403,0.20273635626247022,0.0,0.16327981917318724,0.0,0.6231770242120841,0.7864568433852713,4,0.0,0.0
20580,"Eagle Pass, TX",TX,5,8876420.0,7891344.0,0.0,0.0,0.0,0.11097672259762381,0.8890232774023761,0.0,0.0,0.0,0.0,0.7475313245655343,3,0.0,0.0
20740,"Eau Claire, WI",WI,2,4205672.0,4205672.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2,0.0,0.0
20940,"El Centro, CA",CA,1,4054338.0,4054338.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0
20994,"Elgin, IL",IL,7,14909137.0,8239946.0,5016891.0,0.0,0.0,0.11082465738962624,0.5526775962954797,0.33649774631489404,0.0,0.0,0.0,0.5876588966886548,4,0.0,0.0
21060,"Elizabethtown, KY",KY,2,14617952.0,0.0,14617952.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.5,0.59649149210505
21300,"Elmira, NY",NY,1,2938703.0,2938703.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0
21340,"El Paso, TX",TX,41,136988499.0,51707997.0,44571906.0,35313039.0,0.0,0.039386934227230275,0.37746232258519746,0.3253696939916102,0.25778104919596206,0.0,0.0,0.17673782234813742,22,0.0,0.0
21420,"Enid, OK",OK,4,15596492.0,5260866.0,0.0,10102932.0,0.0,0.014919637056845859,0.33731085169665076,0.0,0.6477695112465034,0.0,0.0,0.8578905435914692,2,0.0,0.0
21500,"Erie, PA",PA,5,25890963.0,1118359.0,23884977.0,0.0,0.0,0.034283274824501504,0.043194955707132256,0.9225217694683663,0.0,0.0,0.0,0.6651673018110604,1,0.0,0.0
21660,"Eugene-Springfield, OR",OR,4,50104243.0,0.0,0.0,49497532.0,0.0,0.012108974483458417,0.0,0.0,0.5186984663155174,0.46919255920102415,0.0,0.7452295008229144,0,0.0,0.0
21780,"Evansville, IN",IN,6,18473477.0,4522612.0,13121277.0,0.0,0.0,0.04490697663466385,0.2448165009759668,0.7102765223893693,0.0,0.0,0.0,0.7102765223893693,2,0.16666666666666666,0.02002638701961737
21794,"Everett, WA",WA,7,100309107.0,5018758.0,15408481.0,79881868.0,0.0,0.0,0.05003292472736299,0.15360999076584342,0.3268339334333821,0.4695231510734115,0.0,0.6578155560691015,2,0.2857142857142857,0.5319633041893195
22020,"Fargo, ND-MN",ND,1,7572847.0,0.0,7572847.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0
22140,"Farmington, NM",NM,3,9462132.0,9462132.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.728283752541182,3,0.0,0.0
22180,"Fayetteville, NC",NC,5,15132824.0,8366308.0,6201499.0,0.0,0.0,0.037337181744795285,0.5528583428975319,0.40980447535767284,0.0,0.0,0.0,0.6214501668690523,3,0.0,0.0
22420,"Flint, MI",MI,11,132814458.0,10659151.0,9581271.0,0.0,108935287.0,0.027397235623248185,0.08025595376069675,0.07214027105392397,0.0,0.0,0.8202065395621311,0.892346810616055,4,0.09090909090909091,0.0067695265525986635
22500,"Florence, SC",SC,5,31082023.0,6610810.0,0.0,23300133.0,0.0,0.03767708427472691,0.21268918049510485,0.0,0.0,0.7496337352301683,0.0,0.8622504075748223,2,0.0,0.0
22744,"Fort Lauderdale-Pompano Beach-Sunrise, FL",FL,73,183879787.0,105457145.0,69532808.0,0.0,0.0,0.04834590111853893,0.5735113506521519,0.3781427482293092,0.0,0.0,0.0,0.10333627915285762,45,0.0,0.0
22900,"Fort Smith, AR-OK",OK,4,7664031.0,6260008.0,0.0,0.0,0.0,0.1831964145238974,0.8168035854761025,0.0,0.0,0.0,0.0,0.8168035854761025,2,0.0,0.0
23060,"Fort Wayne, IN",IN,7,17888235.0,17888235.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4085733444356025,7,0.0,0.0
23104,"Fort Worth-Arlington-Grapevine, TX",TX,60,202364734.0,50411061.0,82594216.0,57984133.0,0.0,0.05621198800379912,0.2491099116113779,0.4081453046062858,0.2865327957785372,0.0,0.0,0.1686711232995765,24,0.0,0.0
23224,"Frederick-Gaithersburg-Bethesda, MD",MD,11,92756992.0,11001974.0,0.0,80502330.0,0.0,0.013505051996511487,0.11861072424599539,0.0,0.5889227736061127,0.2789614501513805,0.0,0.4833005580862303,4,0.09090909090909091,0.010904126774615545
23420,"Fresno, CA",CA,11,22959608.0,14986984.0,5502332.0,0.0,0.0,0.10759295193541632,0.6527543501613791,0.23965269790320462,0.0,0.0,0.0,0.45495942265216377,6,0.0,0.0
23540,"Gainesville, FL",FL,9,28740497.0,14110028.0,13960467.0,0.0,0.0,0.02331212296015619,0.490945859426161,0.4857420176136829,0.0,0.0,0.0,0.4857420176136829,5,0.0,0.0
23580,"Gainesville, GA",GA,4,40169345.0,4536198.0,7324027.0,28309120.0,0.0,0.0,0.11292686002223835,0.18232876338909684,0.7047443765886648,0.0,0.0,0.7047443765886648,1,0.0,0.0
23900,"Gettysburg, PA",PA,1,3462376.0,3462376.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0
24020,"Glens Falls, NY",NY,2,3047975.0,2131094.0,0.0,0.0,0.0,0.30081644370442673,0.6991835562955733,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0
24140,"Goldsboro, NC",NC,2,49554363.0,0.0,7335693.0,42218670.0,0.0,0.0,0.0,0.14803324179548025,0.0,0.8519667582045197,0.0,1.0,0,0.0,0.0
24260,"Grand Island, NE",NE,3,7456061.0,7456061.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.795307334529586,3,0.0,0.0
24340,"Grand Rapids-Wyoming-Kentwood, MI",MI,13,64896566.0,21786286.0,11843742.0,31266538.0,0.0,0.0,0.33570784007277055,0.18250182914146798,0.48179033078576144,0.0,0.0,0.48179033078576144,9,0.07692307692307693,0.01665271472145383
24420,"Grants Pass, OR",OR,2,17660818.0,0.0,6992338.0,10668480.0,0.0,0.0,0.0,0.39592379016645773,0.6040762098335423,0.0,0.0,1.0,0,0.0,0.0
24500,"Great Falls, MT",MT,2,18210241.0,0.0,0.0,17298242.0,0.0,0.050081654603033536,0.0,0.0,0.9499183453969665,0.0,0.0,1.0,0,0.0,0.0
24580,"Green Bay, WI",WI,4,22921239.0,2264069.0,0.0,19767428.0,0.0,0.038817360614755596,0.09877603038823513,0.0,0.8624066089970093,0.0,0.0,0.9611826393852444,1,0.0,0.0
24660,"Greensboro-High Point, NC",NC,7,82380766.0,0.0,25144375.0,56327823.0,0.0,0.011028885067662517,0.0,0.3052214275356459,0.14532827966178416,0.5384214077349074,0.0,0.6837496873966916,0,0.0,0.0
24780,"Greenville, NC",NC,2,14347645.0,2020327.0,0.0,12327318.0,0.0,0.0,0.14081244692073158,0.0,0.8591875530792684,0.0,0.0,1.0,1,0.0,0.0
24860,"Greenville-Anderson-Greer, SC",SC,8,119501867.0,9242723.0,8272359.0,49089838.0,52896947.0,0.0,0.07734375396829574,0.06922367999489079,0.22512460830423678,0.1856625972211798,0.44264536051139686,0.6283079577325766,3,0.0,0.0
25060,"Gulfport-Biloxi, MS",MS,5,35306236.0,5224322.0,13086886.0,16995028.0,0.0,0.0,0.14797165010736346,0.3706678332972113,0.4813605165954252,0.0,0.0,0.7065388958483142,2,0.0,0.0
25180,"Hagerstown-Martinsburg, MD-WV",WV,5,7495217.0,6139721.0,0.0,0.0,0.0,0.18084813288261034,0.8191518671173897,0.0,0.0,0.0,0.0,0.6724777948390287,3,0.0,0.0
25220,"Hammond, LA",LA,12,34183798.0,34183798.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2775134582763448,12,0.0,0.0
25420,"Harrisburg-Carlisle, PA",PA,7,38549281.0,7024114.0,0.0,30879759.0,0.0,0.016742413431783593,0.18221128430384992,0.0,0.8010463022643665,0.0,0.0,0.8010463022643665,4,0.0,0.0
